event_id,event_name,event_type,location,date,description
15,Christmas Celebration,Festival,Kuala Lumpur,2024-12-25,"A festive celebration with Christmas carols, decorations, and family gatherings."
16,Hari Raya Haji,Religious,Kuala Lumpur,2024-06-29,"A significant Islamic festival marked by prayers, feasting, and the ritual of animal sacrifice."
17,Eid al-Adha,Religious,Penang,2024-06-29,"An important Islamic festival involving prayers, feasting, and the sacrifice of animals."
18,Pongal Festival,Festival,Kuala Lumpur,2024-01-15,"A Tamil harvest festival celebrated with the cooking of Pongal, a sweet rice dish."
19,Borneo Cultural Festival,Cultural,Sarawak,2024-07-20,"A festival showcasing the diverse cultures of Borneo through music, dance, and traditional crafts."
20,Sabah Fest,Cultural,Sabah,2024-05-02,"A festival celebrating the cultural heritage of Sabah with performances, crafts, and traditional games."
21,Malaysia International Gourmet Festival,Gastronomy,Kuala Lumpur,2024-10-01,A food festival featuring gourmet cuisine from top chefs in Malaysia and around the world.
22,Rainforest World Music Festival,Music,Sarawak,2024-07-12,An international music festival celebrating traditional and contemporary world music.
23,George Town Festival,Arts,Penang,2024-07-07,"A month-long celebration of art, music, theatre, and dance in the UNESCO World Heritage Site of George Town."
24,Pesta Pulau Pinang,Festival,Penang,2024-12-01,"An annual carnival featuring cultural performances, food stalls, and amusement rides."
25,KL International Arts Festival,Arts,Kuala Lumpur,2024-09-01,"A festival showcasing a wide range of artistic disciplines including music, dance, theatre, and visual arts."
26,Putrajaya Flower and Garden Festival,Festival,Putrajaya,2024-07-28,A festival showcasing beautiful flower displays and garden designs from local and international participants.
27,Bon Odori Festival,Festival,Shah Alam,2024-07-20,"A Japanese festival featuring traditional Bon Odori dance, music, and food."
28,Chingay Parade,Parade,Johor Bahru,2024-02-17,"A grand parade featuring colorful floats, lion dances, and cultural performances to celebrate Chinese New Year."
29,Borneo Jazz Festival,Music,Sarawak,2024-05-11,An annual jazz music festival featuring performances by international and local jazz musicians.
30,Selangor International Indigenous Arts Festival,Cultural,Shah Alam,2024-08-04,"A festival celebrating the rich cultural heritage of indigenous communities in Selangor through music, dance, and crafts."
31,Kelantan International Kite Festival,Festival,Kelantan,2024-03-01,"A festival featuring colorful kites from around the world, showcasing the art of kite flying."
32,Penang Hot Air Balloon Fiesta,Festival,Penang,2024-02-01,"An exciting event with hot air balloons from various countries, offering rides and stunning aerial views."
33,Melaka Art and Performance Festival,Arts,Melaka,2024-11-01,"A celebration of arts and performances including music, dance, and visual arts in the historic city of Melaka."
34,Sarawak Regatta,Sport,Sarawak,2024-09-07,"A traditional boat race along the Sarawak River, featuring colorful longboats and cultural performances."
35,Miri Country Music Festival,Music,Miri,2024-02-23,An annual music festival featuring country music performances from local and international artists.
36,Sabah Dragon Boat Race,Sport,Sabah,2024-06-15,"A thrilling dragon boat race event, accompanied by cultural performances and festivities."
37,Terengganu International Squid Jigging Festival,Festival,Terengganu,2024-04-25,A unique festival where participants engage in traditional squid jigging activities along the coast.
38,Perak Cave Temple Festival,Religious,Perak,2024-08-18,"A religious and cultural festival held at the famous cave temples in Perak, featuring rituals and performances."
39,Johor Bahru Arts Festival,Arts,Johor Bahru,2024-10-15,"An arts festival showcasing visual arts, theatre, music, and dance in the vibrant city of Johor Bahru."
40,Langkawi International Maritime and Aerospace Exhibition,Exhibition,Langkawi,2024-03-25,"A major exhibition featuring maritime and aerospace displays, attracting participants and visitors from around the world."
41,Kelantan International Kite Festival,Festival,Kelantan,2024-03-01,"A festival featuring colorful kites from around the world, showcasing the art of kite flying."
42,Penang Hot Air Balloon Fiesta,Festival,Penang,2024-02-01,"An exciting event with hot air balloons from various countries, offering rides and stunning aerial views."
43,Melaka Art and Performance Festival,Arts,Melaka,2024-11-01,"A celebration of arts and performances including music, dance, and visual arts in the historic city of Melaka."
44,Sarawak Regatta,Sport,Sarawak,2024-09-07,"A traditional boat race along the Sarawak River, featuring colorful longboats and cultural performances."
45,Miri Country Music Festival,Music,Miri,2024-02-23,An annual music festival featuring country music performances from local and international artists.
46,Sabah Dragon Boat Race,Sport,Sabah,2024-06-15,"A thrilling dragon boat race event, accompanied by cultural performances and festivities."
47,Terengganu International Squid Jigging Festival,Festival,Terengganu,2024-04-25,A unique festival where participants engage in traditional squid jigging activities along the coast.
48,Perak Cave Temple Festival,Religious,Perak,2024-08-18,"A religious and cultural festival held at the famous cave temples in Perak, featuring rituals and performances."
